Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
GERD,stomach_pain,,,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,vomiting,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,vomiting,cough,,,,,,,,,,,,
GERD,,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,,,cough,chest_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,loss_of_appetite,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,abdominal_pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,spotting_ urination,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
AIDS,,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,high_fever,,,,,,,,,,,,,,,
AIDS,muscle_wasting,,high_fever,,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,irregular_sugar_level,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,,lethargy,irregular_sugar_level,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,cough,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,,,,,,,,,,,,,
Bronchial Asthma,cough,high_fever,breathlessness,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,high_fever,breathlessness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,indigestion,headache,,,stiff_neck,,,,,,,,,,,,
Migraine,,headache,,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,stiff_neck,,,,,,,,,,,,
Migraine,,indigestion,headache,,,,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Migraine,,indigestion,headache,,,stiff_neck,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,,dizziness,,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,,dizziness,,,,,,,,,,,,,,
Cervical spondylosis,back_pain,,dizziness,,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,,,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,,dizziness,,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,,dizziness,,,,,,,,,,,,,,
Cervical spondylosis,back_pain,,dizziness,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,,,,,,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,,dark_urine,abdominal_pain,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,,dark_urine,abdominal_pain,,,,,,,,,
Jaundice,vomiting,fatigue,weight_loss,high_fever,,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,fatigue,weight_loss,high_fever,,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,weight_loss,high_fever,,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,high_fever,,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,,abdominal_pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,,dark_urine,,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,
Chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,,,,,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,
Dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,,muscle_pain,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,,,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,,belly_pain,,,,,,
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,,belly_pain,,,,,,
Typhoid,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,,belly_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,
hepatitis A,vomiting,,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,,muscle_pain,,,,,,,
hepatitis A,joint_pain,vomiting,,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,,muscle_pain,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,
Hepatitis B,fatigue,lethargy,,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,lethargy,,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,loss_of_appetite,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,dark_urine,abdominal_pain,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,dark_urine,loss_of_appetite,yellow_urine,,,,,,,,,,
Hepatitis B,itching,fatigue,lethargy,,dark_urine,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis C,,nausea,loss_of_appetite,,,,,,,,,,,,,,
Hepatitis C,fatigue,nausea,loss_of_appetite,,,,,,,,,,,,,,
Hepatitis C,fatigue,,loss_of_appetite,,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis C,fatigue,,nausea,loss_of_appetite,,,,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis D,vomiting,fatigue,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,fatigue,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,dark_urine,loss_of_appetite,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,dark_urine,nausea,abdominal_pain,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,dark_urine,nausea,loss_of_appetite,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,
Hepatitis E,vomiting,fatigue,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,fatigue,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,high_fever,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,,dark_urine,loss_of_appetite,abdominal_pain,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Alcoholic hepatitis,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,swelling_of_stomach,,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,,abdominal_pain,swelling_of_stomach,,,,,,,,,,,,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,
Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,,swelled_lymph_nodes,,,chest_pain,,,
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Common Cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,,throat_irritation,redness_of_eyes,,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,
Pneumonia,fatigue,cough,high_fever,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,cough,high_fever,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,high_fever,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,cough,breathlessness,sweating,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,cough,high_fever,sweating,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,,,chest_pain,fast_heart_rate,,,,,,,,
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,,chest_pain,fast_heart_rate,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,,,,,,,,,,,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,
Heart attack,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,
Heart attack,vomiting,sweating,chest_pain,,,,,,,,,,,,,,
Heart attack,vomiting,breathlessness,chest_pain,,,,,,,,,,,,,,
Heart attack,vomiting,breathlessness,sweating,,,,,,,,,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,
